ABAR|ABARTH
AC|AC (GREAT BRITAIN)
ACAD|ACADIAN (GM OF CANADA)
ACUR|ACURA
ADET|ADETTE
ADVA|ADVANCE MFG CO
AEAG|AMERICAN EAGLE MOTORCYLE
AERA|AEROCAR
AETA|AETA
AIRO|AIR-O-MOTOR HOME
ALFA|ALFA ROMEO
ALLA|ALLARD
ALLE|ALLEGRO MOTOR HOME
ALLF|ALLISON'S FIBERGLASS MFG
ALLS|ALL STATE
ALMA|ALMA
ALPI|ALPINE
ALTA|ALTA
ALVI|ALVIS
AMER|AMC
AMF|AMF LAWN & GARDEN DIV
AMGN|AMGN (MAKES MODEL HUMMER)
AMPH|AMPHICAR
AMTC|AMERICAN TRANSPRTATION CO
APOL|APOLLO HOMES
APRI|APRILIA MOTORCYCLES
ARCA|ARCTIC CAT (MC/ATV)
ARCC|ARCTIC CAT (SNOWMOBILE)
ARGO|ARGONAUT STATE LIMOUSINE
ARIS|ARISTOCRAT MOTOR HOME
ARIT|ARISTA
ARMS|ARMSTRONG SIDDELEY
ARNO|ARNOLT-BRISTOL
ARRO|ARROW
ARSC|ASCORT
ASA|ASA
ASHL|ASHLEY
ASTO|ASTON MARTIN
ASTR|ASTRO MOBILE HOMES MFG
ASUN|ASUNA
ASVE|ASSEMBLED VEHICLE
ATK|ATK AMERICA INC
ATLS|ATLAS HOIST & BODY INC
AUBU|AUBURN
AUDI|AUDI
AUHE|AUSTIN-HEALY
AUKR|AUTOKRAFT
AURR|AURORA
AUST|AUSTIN
AUTA|AUTOBIANCHI
AUTB|AUTOBLEU
AUTI|AUTO TRAILER CO
AUTO|AUTOCAR
AUTR|AUTOCARRIER AND A.C.
AUTT|AUTOMATIC DRILLING MACHIN
AVA|AVA TRAVEL TRAILER
AVAL|AVAILABLE
AVCO|AVCO CORPORATION
AVEN|AVENGER
AVIA|AVIA
AVTI|AVANTI
AZTC|AZTEC PRODUCTS INC
BANK|BANKHEAD WELDING SERVICE
BANN|BANNER
BARR|BARRET
BEAD|BEARDMORE
BEAM|BEACH-CRAFT MOTOR HOMES
BEBE|BEBE
BECK|BECKER, CHARLES H
BEDF|BEDFORD
BEEH|BEECHWOOD MOTOR HOME
BEJE|BEIJING JEEP GANG STAR
BENT|BENTLEY
BERG|BERGANTINE
BERK|BERKLEY
BERO|BERTONE
BESA|BESASIE AUTOMOBILE CO
BGDG|BIG DOG MOTORCYCLES,LLC.
BIGT|BIG TEX TRAILER CO.,INC.
BITT|BITTER
BIZZ|BIZZARRINI
BLUB|BLUE BIRD BODY CO
BMBR|RECREATIONAL PRODUCTS GRO
BMC|BMC
BMW|BMW
BNTM|BANTAM
BOAS|BOA-SKI ALSPORT LTD.
BOAT|BOATEL SKI
BOBB|BOBBI-KAR
BOCA|BOCAR
BOMB|BOMBARDIER (ATV/MC)
BOMR|BOMBARDIER INC.
BOND|BOND
BORG|BORGWARD
BRAD|BRANDT TRAILERS
BRAS|BRASINCA
BRDL|BRADLEY GT
BREM|BREMEN
BRIC|BRICKLIN
BRID|BRIDGESTONE
BRIS|BRISTOL
BROC|BROCKWAY
BROS|BROS. DIV
BROU|BROUGHAM INDUSTRIES, INC
BROW|BROWN
BRSH|BRUSH
BRUZ|BRUTANZA
BSA|BSA
BUEL|BUELL
BUG|BUG
BUGA|BUGATTI
BUIC|BUICK
BULT|BULTACO
BUSP|BUFFALO-SPRINGFIELD
BUTT|BUTTERFIELD MUSKETEER
BZEL|B & Z ELECTRIC CAR CO.
CABA|CABANA MOTOR HOME
